lambda_nm	a_water_m-1	sigma_m-1	percent
380.0	0.01137	0.0016	14
382.5	0.01044	0.0015	15
385.0	0.00941	0.0016	14
387.5	0.00911	0.0014	15
390.0	0.00851	0.0012	15
392.5	0.00827	0.0012	14
395.0	0.00805	0.0011	15
397.5	0.00775	0.0011	13
400.0	0.00673	0.0010	15
402.5	0.00579	0.0007	12
405.0	0.00653	0.0009	14
407.5	0.00589	0.0007	12
410.0	0.00443	0.0006	13
412.5	0.00475	0.0006	13
415.0	0.00438	0.0006	13
417.5	0.00455	0.0006	13
420.0	0.00475	0.0006	13
422.5	0.00461	0.0006	13
425.0	0.00452	0.0006	12
427.5	0.00459	0.0006	13
430.0	0.00495	0.0006	12
432.5	0.00504	0.0006	12
435.0	0.00530	0.0006	11
437.5	0.00580	0.0005	10
440.0	0.00666	0.0005	9
442.5	0.00625	0.0006	9
445.0	0.00751	0.0005	9
447.5	0.00757	0.0006	8
450.0	0.00822	0.0006	7
452.5	0.00898	0.0005	6
455.0	0.00926	0.0006	6
457.5	0.00957	0.0006	6
460.0	0.00999	0.0006	6
462.5	0.01005	0.0006	6
465.0	0.01011	0.0006	7
467.5	0.01026	0.0006	6
470.0	0.01019	0.0006	6
472.5	0.01096	0.0006	8
475.0	0.01104	0.0006	7
477.5	0.01217	0.0007	8
480.0	0.01241	0.0007	7
482.5	0.01336	0.0007	7
485.0	0.01384	0.0007	7
487.5	0.01418	0.0007	7
490.0	0.01538	0.0007	6
492.5	0.01562	0.0008	5
495.0	0.01631	0.0008	5
497.5	0.01941	0.0011	6
500.0	0.02191	0.0011	5
502.5	0.02104	0.0011	5
505.0	0.02286	0.0011	5
507.5	0.02526	0.0012	5
510.0	0.02822	0.0013	5
512.5	0.03726	0.0012	4
515.0	0.03772	0.0012	4
517.5	0.03682	0.0012	4
520.0	0.0409	0.0009	5
522.5	0.04137	0.0011	4
525.0	0.0417	0.0011	4
527.5	0.04142	0.0011	4
530.0	0.0434	0.0017	5
532.5	0.0447	0.0017	4
535.0	0.0452	0.0012	4
537.5	0.0466	0.0015	4
540.0	0.0474	0.0010	3
542.5	0.0537	0.0015	3
545.0	0.0537	0.0016	3
547.5	0.0555	0.0016	3
550.0	0.0585	0.0015	3
552.5	0.0598	0.0017	3
555.0	0.0656	0.0018	3
557.5	0.0598	0.0016	3
560.0	0.0649	0.0014	3
562.5	0.0618	0.0013	3
565.0	0.0637	0.0014	3
567.5	0.0662	0.0014	3
570.0	0.0673	0.0014	3
572.5	0.0738	0.0015	3
575.0	0.0762	0.0016	3
577.5	0.0788	0.0017	3
580.0	0.0889	0.0016	3
582.5	0.0966	0.0016	3
585.0	0.1220	0.0018	3
587.5	0.1220	0.0018	3
590.0	0.1351	0.0017	3
592.5	0.1516	0.0017	3
595.0	0.1672	0.0014	3
597.5	0.1925	0.0021	3
600.0	0.2091	0.0020	3
602.5	0.2470	0.0029	3
605.0	0.2267	0.0029	3
607.5	0.2569	0.0028	3
610.0	0.2644	0.0029	3
612.5	0.2713	0.0028	3
615.0	0.2678	0.0019	3
617.5	0.2768	0.0029	3
620.0	0.2810	0.0029	3
622.5	0.2834	0.0029	3
625.0	0.2855	0.0029	3
627.5	0.2916	0.0027	3
630.0	0.2916	0.0027	3
632.5	0.2971	0.0028	3
635.0	0.3017	0.0028	3
637.5	0.3072	0.0027	3
640.0	0.3228	0.0025	3
642.5	0.3228	0.0025	3
645.0	0.3295	0.0025	3
647.5	0.3390	0.0026	3
650.0	0.3502	0.0025	3
652.5	0.3593	0.0025	3
655.0	0.3719	0.0025	3
657.5	0.3830	0.0025	3
660.0	0.3930	0.0025	3
662.5	0.4040	0.0025	3
665.0	0.4240	0.0025	3
667.5	0.4195	0.0025	3
670.0	0.4380	0.0026	3
672.5	0.4480	0.0026	3
675.0	0.4480	0.0026	3
677.5	0.4610	0.0026	3
680.0	0.4680	0.0026	3
682.5	0.4785	0.0026	3
685.0	0.4860	0.0026	3
687.5	0.4920	0.0026	3
690.0	0.4980	0.0026	3
692.5	0.5380	0.0070	3
695.0	0.5590	0.0050	3
697.5	0.5920	0.0080	3
700.0	0.6240	0.0060	3
702.5	0.6630	0.0080	3
705.0	0.7040	0.0060	3
707.5	0.7560	0.0090	3
710.0	0.8270	0.0070	3
712.5	0.9140	0.0011	3
715.0	1.0070	0.0090	3
717.5	1.1190	0.0140	3
720.0	1.2310	0.0110	3
722.5	1.3560	0.0080	3
725.0	1.4890	0.0060	3
727.5	1.6780	0.0070	3


